# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 1100 0 80 0.0169051 0.0172052 0.0170051 0.0176053 0.994498 0.997499 0.995099
 100 1100 0 40 0.0181 0.0182 0.0182 0.019 0.9945 0.9966 0.9952
 100 1100 0 0 0.0193135 0.0197138 0.0193135 0.020014 0.994096 0.996998 0.994896
 100 1100 40 80 0.024 0.0243 0.0241 0.0247 0.9954 0.9974 0.9962
 100 1100 40 40 0.0246049 0.0247049 0.024805 0.0253051 0.994299 0.996899 0.995399
 100 1100 80 80 0.040108 0.0408082 0.0403081 0.0420084 0.990998 0.995899 0.991498
 100 1200 0 80 0.0195078 0.0197079 0.019908 0.0202081 0.994798 0.996899 0.996299
 100 1200 0 40 0.0187019 0.0188019 0.0187019 0.0194019 0.994199 0.9967 0.994899
 100 1200 0 0 0.0212021 0.0215022 0.0212021 0.0218022 0.994599 0.9966 0.9952
 100 1200 40 80 0.0211042 0.0213043 0.0213043 0.0221044 0.995199 0.996999 0.995999
 100 1200 40 40 0.0260156 0.0261157 0.0262157 0.026716 0.993596 0.996198 0.994597
 100 1200 80 80 0.0410041 0.0411041 0.0412041 0.0419042 0.993999 0.9968 0.9953
 100 1300 0 80 0.0176035 0.0177035 0.0177035 0.0183037 0.995199 0.997299 0.996099
 100 1300 0 40 0.0188056 0.0188056 0.0188056 0.0193058 0.994698 0.997099 0.995599
 100 1300 0 0 0.0192058 0.0192058 0.0193058 0.019906 0.993998 0.996399 0.994898
 100 1300 40 80 0.0230069 0.0231069 0.0230069 0.023407 0.995999 0.997699 0.996699
 100 1300 40 40 0.0224067 0.0225068 0.0226068 0.0230069 0.994198 0.997399 0.995199
 100 1300 80 80 0.0416042 0.0423042 0.0420042 0.0437044 0.992199 0.9959 0.993199
 100 1400 0 80 0.0157063 0.0158063 0.0157063 0.0161064 0.996198 0.997599 0.996999
 100 1400 0 40 0.0185019 0.0190019 0.0186019 0.0193019 0.9954 0.9976 0.9964
 100 1400 0 0 0.0194019 0.019602 0.019802 0.0205021 0.993399 0.9963 0.994599
 100 1400 40 80 0.0214107 0.0217109 0.0217109 0.0225113 0.994897 0.997099 0.995898
 100 1400 40 40 0.0241042 0.0243619 0.0243619 0.0252642 0.993555 0.996262 0.994844
 100 1400 80 80 0.0373075 0.0376075 0.0376075 0.0385077 0.992398 0.996199 0.993399
 100 1500 0 80 0.0171017 0.0172017 0.0171017 0.0177018 0.994199 0.9964 0.9952
 100 1500 0 40 0.0188038 0.0188038 0.0189038 0.020004 0.992999 0.995899 0.993599
 100 1500 0 0 0.0186019 0.0186019 0.0186019 0.0193019 0.9957 0.9973 0.9963
 100 1500 40 80 0.0238034 0.0240607 0.0243181 0.0248327 0.994467 0.997041 0.996269
 100 1500 40 40 0.0202081 0.0203081 0.0203081 0.0206082 0.994798 0.996599 0.995398
 100 1500 80 80 0.0406081 0.0413083 0.0412082 0.0425085 0.991998 0.995899 0.993299
 100 1600 0 80 0.0179036 0.0180036 0.0180036 0.0185037 0.994899 0.996599 0.996499
 100 1600 0 40 0.0192058 0.0196059 0.0194058 0.020106 0.993798 0.995899 0.995099
 100 1600 0 0 0.020202 0.020302 0.020202 0.0209021 0.993799 0.996 0.994599
 100 1600 40 80 0.0213 0.0214 0.0215 0.0218 0.995 0.9972 0.9958
