# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 100 1000 80 80 0.00230023 0.00290029 0.0180018 0.236224 0.0325033 0.0411041 0.089809
 100 1100 0 80 0.00080008 0.00130013 0.00890089 0.186819 0.0532053 0.0608061 0.125213
 100 1100 0 40 0.00130013 0.00170017 0.00660066 0.213921 0.0421042 0.0509051 0.0913091
 100 1100 0 0 0.000666445 0.000999667 0.00766411 0.196934 0.0353216 0.0423192 0.0873042
 100 1100 40 80 0.0015 0.0019 0.0104 0.1874 0.0417 0.0495 0.1079
 100 1100 40 40 0.0018 0.0021 0.0084 0.2081 0.039 0.0455 0.0819
 100 1100 80 80 0.0020002 0.00260026 0.0172017 0.239424 0.0292029 0.0386039 0.0827083
 100 1200 0 80 0.00080008 0.00090009 0.00830083 0.190519 0.049805 0.0557056 0.121112
 100 1200 0 40 0.00120012 0.00180018 0.00790079 0.214821 0.0407041 0.0490049 0.0924092
 100 1200 0 0 0.0008 0.0012 0.006 0.2085 0.0183 0.0225 0.0556
 100 1200 40 80 0.0014 0.0018 0.0096 0.1909 0.0398 0.0478 0.1022
 100 1200 40 40 0.00130026 0.00160032 0.00730146 0.218844 0.0372074 0.0444089 0.0811162
 100 1200 80 80 0.0022 0.0031 0.0182 0.2427 0.0307 0.0391 0.0833
 100 1300 0 80 0.0013 0.0017 0.0093 0.1864 0.0497 0.0575 0.1205
 100 1300 0 40 0.00140014 0.00150015 0.00550055 0.216622 0.0408041 0.0475048 0.0930093
 100 1300 0 0 0.0005 0.0007 0.0058 0.2109 0.0263 0.0306 0.067
 100 1300 40 80 0.00150015 0.00170017 0.00880088 0.190319 0.0436044 0.0513051 0.0991099
 100 1300 40 40 0.0020006 0.00230069 0.00950285 0.220366 0.0349105 0.0429129 0.0788236
 100 1300 80 80 0.00260026 0.00290029 0.0161016 0.237024 0.0340034 0.0427043 0.0894089
 100 1400 0 80 0.0015 0.002 0.0085 0.1852 0.0536 0.0614 0.1254
 100 1400 0 40 0.00120024 0.00170034 0.0075015 0.204841 0.0431086 0.04981 0.095019
 100 1400 0 0 0.00414938 0.00414938 0.0124481 0.244813 0.0414938 0.0414938 0.0871369
 100 1400 40 80 0.0014 0.0018 0.0096 0.186 0.0429 0.051 0.1016
 100 1400 40 40 0.00070021 0.00110033 0.00810243 0.216565 0.0390117 0.0472142 0.0847254
 100 1400 80 80 0.00280056 0.00380076 0.0185037 0.240248 0.0309062 0.0406081 0.0861172
 100 1500 0 80 0.0004 0.0006 0.0093 0.1841 0.0521 0.0593 0.1272
 100 1500 0 40 0.00060012 0.00080016 0.00660132 0.210942 0.0420084 0.04991 0.0920184
 100 1500 0 0 0.00080016 0.00110022 0.00860172 0.210642 0.0333067 0.0411082 0.0889178
 100 1500 40 80 0.0005 0.0009 0.0088 0.1877 0.0429 0.0509 0.1036
 100 1500 40 40 0.00110044 0.0020008 0.00610244 0.221489 0.0364146 0.0440176 0.0788315
 100 1500 80 80 0.00280028 0.00330033 0.0172017 0.234623 0.0330033 0.0413041 0.089509
 100 1600 0 80 0.00130013 0.00220022 0.010301 0.181518 0.0507051 0.059806 0.127213
 100 1600 0 40 0.00130039 0.00140042 0.00640192 0.210563 0.0419126 0.050015 0.0895269
 100 1600 0 0 0.0005001 0.0005001 0.00580116 0.219044 0.0218044 0.0261052 0.0587117
 100 1600 40 80 0.00080008 0.00130013 0.0105011 0.190819 0.0391039 0.0469047 0.10101
 100 1600 40 40 0.00150015 0.00250025 0.00790079 0.227423 0.0358036 0.0425043 0.080108
 100 1600 80 80 0.0026 0.0035 0.0174 0.2364 0.0299 0.0397 0.0852
 100 1700 0 80 0.00080016 0.00080016 0.0085017 0.192138 0.0454091 0.0519104 0.118224
 100 1700 0 40 0.0013 0.0018 0.0068 0.2177 0.0418 0.0503 0.0897
 100 1700 0 0 0.00030003 0.00050005 0.00530053 0.206221 0.0223022 0.0269027 0.0667067
 100 1700 40 80 0.0011 0.0018 0.0088 0.1848 0.0428 0.0502 0.1
 100 1700 40 40 0.0010001 0.00110011 0.00780078 0.224722 0.0329033 0.040004 0.0774077
 100 1700 80 80 0.00190038 0.00270054 0.0177035 0.243149 0.0335067 0.0446089 0.0894179
 100 1800 0 80 0.0010002 0.00140028 0.00990198 0.189638 0.0491098 0.0579116 0.121224
 100 1800 0 40 0.00080016 0.00140028 0.00590118 0.210442 0.0407081 0.0493099 0.085217
 100 1800 0 0 0 0 0.0042735 0.200855 0.0299145 0.034188 0.0512821
 100 1800 40 80 0.0011 0.0012 0.0097 0.1906 0.0435 0.0518 0.1022
 100 1800 40 40 0.0013 0.0016 0.0078 0.2214 0.0384 0.0453 0.0798
 100 1800 80 80 0.00210021 0.00320032 0.0149015 0.242024 0.0311031 0.0415042 0.0845085
 100 1900 0 80 0.0013 0.0018 0.0093 0.192 0.051 0.0586 0.1226
 100 1900 0 40 0.0007 0.0011 0.0072 0.2164 0.0472 0.0538 0.0959
 100 1900 0 0 0.00040004 0.00070007 0.00490049 0.218922 0.019802 0.0238024 0.0538054
 100 1900 40 80 0.00110011 0.00170017 0.00840084 0.184318 0.0406041 0.0489049 0.10151
 100 1900 40 40 0.00190038 0.00220044 0.00820164 0.221144 0.0404081 0.0466093 0.0858172
 100 1900 80 80 0.00250025 0.00320032 0.0167017 0.234823 0.0315032 0.0417042 0.0846085
 100 2000 0 80 0.00070007 0.00140014 0.0108011 0.193619 0.050305 0.0592059 0.124312
 100 2000 0 40 0.001 0.0014 0.0079 0.2163 0.0425 0.0505 0.0935
 100 2000 0 0 0.00030003 0.00060006 0.0040004 0.209321 0.0231023 0.0285029 0.0629063
